state_load,state_hour,state_pv,state_battery_soc,state_capa_to_charge,state_capa_to_discharge,state_grid_status,state_grid_co2,state_grid_price_import,state_grid_price_export,state_co2_emission,state_pv_load_diff,state_cost,state_normalized_cost,state_prev_load,state_prev_pv,state_prev_grid_price_import,state_prev_grid_co2,state_prev_action_grid_import,state_cost_co2,state_sum_load,action_battery_power,config_starting_time_step,config_cost_battery,episode,iteration
22608.970950532836,8.0,13326.544704743463,0.2,58048.88888888889,0.0,1.0,0.28771204300000003,0.2,0.0,4875.685737916942,-9282.426245789373,3886.69331938343,0.0,22666.493815083555,5670.8700871248775,0.2,0.286878894,16995.62372795868,0.1,543229.6437556096,0,0,0,0,272
23132.977998761467,9.0,21265.76282671829,0.2,58048.88888888889,0.0,1.0,0.290639367,0.2,0.0,2670.6658191728807,-1867.2151720431757,2123.5518310751627,0.0,22608.970950532836,13326.544704743463,0.2,0.28771204300000003,9282.426245789373,0.1,543229.6437556096,0,0,0,0,273
23262.731560383556,10.0,25518.91539206195,0.2,58048.88888888889,0.0,1.0,0.295219632,0.2,0.0,542.6862356554246,2256.183831678394,427.7116579741777,0.0,23132.977998761467,21265.76282671829,0.2,0.290639367,1867.2151720431757,0.1,543229.6437556096,0,0,0,0,274
23493.175953131227,11.0,12050.598935140366,0.2310935678510153,55792.70505721049,1827.5089036594998,1.0,0.29490368899999997,0.2,0.0,0.0,-11442.577017990861,0.0,0.0,23262.731560383556,25518.91539206195,0.2,0.295219632,0.0,0.1,543229.6437556096,2256.183831678394,0,0,0,275
23368.119047755383,12.0,9356.93564375605,0.2,58048.88888888889,0.0,1.0,0.29677747,0.2,0.0,2835.5190569025917,-14011.183403999334,2206.5655285565317,-0.0007720412486501421,23493.175953131227,12050.598935140366,0.2,0.29490368899999997,9615.068114331361,0.1,543229.6437556096,-1827.5089036594998,0,0,0,276
23510.56689790668,13.0,9073.392139399804,0.2,58048.88888888889,0.0,1.0,0.301869033,0.08,0.0,4158.20356234491,-14437.174758506875,3218.057037034358,0.0,23368.119047755383,9356.93564375605,0.2,0.29677747,14011.183403999334,0.1,543229.6437556096,0,0,0,0,277
23060.238394913173,14.0,7017.701732817036,0.2,58048.88888888889,0.0,1.0,0.290040336,0.08,0.0,4358.135983602479,-16042.536662096136,1590.787579040798,0.0,23510.56689790668,9073.392139399804,0.08,0.301869033,14437.174758506875,0.1,543229.6437556096,0,0,0,0,278
22581.93930783679,15.0,992.4022652468536,0.2,58048.88888888889,0.0,1.0,0.29080052,0.08,0.0,4652.982723766682,-21589.53704258994,1748.701205344359,0.0,23060.238394913173,7017.701732817036,0.08,0.290040336,16042.536662096136,0.1,543229.6437556096,0,0,0,0,279
16996.864068785886,16.0,0.0,0.2,58048.88888888889,0.0,1.0,0.270403696,0.2,0.0,6278.248598544416,-16996.864068785886,2354.9878232616365,0.0,22581.93930783679,992.4022652468536,0.08,0.29080052,21589.53704258994,0.1,543229.6437556096,0,0,0,0,280
17568.094334361256,17.0,0.0,0.2,58048.88888888889,0.0,1.0,0.24074526,0.2,0.0,4596.014864609302,-17568.094334361256,3858.9743002181076,0.0,16996.864068785886,0.0,0.2,0.270403696,16996.864068785886,0.1,543229.6437556096,0,0,0,0,281
